State,None,CX,CX-AZ,AZ,Other
s0_1,0.992,0.002,0.002,0.002,0.002
s1_0,0.992,0.002,0.002,0.002,0.002
s1_1,0.992,0.002,0.002,0.002,0.002
s1_2,0.992,0.002,0.002,0.002,0.002
s1_3,0.992,0.002,0.002,0.002,0.002
s1_4,0.992,0.002,0.002,0.002,0.002
s1_5,0.992,0.002,0.002,0.002,0.002
s1_6,0.992,0.002,0.002,0.002,0.002
s1_7,0.992,0.002,0.002,0.002,0.002
s1_8,0.992,0.002,0.002,0.002,0.002
s2_1,0.992,0.002,0.002,0.002,0.002
s3_1,0.10200000000000001,0.892,0.002,0.002,0.002
s3_2,0.802,0.19199999999999995,0.002,0.002,0.002
s3_3,0.502,0.492,0.002,0.002,0.002
s3_4,0.902,0.09199999999999997,0.002,0.002,0.002
s3_5,0.952,0.04200000000000004,0.002,0.002,0.002
s3_6,0.992,0.002,0.002,0.002,0.002
s4_1,0.10200000000000001,0.892,0.002,0.002,0.002
s4_2,0.802,0.19199999999999995,0.002,0.002,0.002
s4_3,0.502,0.492,0.002,0.002,0.002
s4_4,0.902,0.09199999999999997,0.002,0.002,0.002
s4_5,0.952,0.04200000000000004,0.002,0.002,0.002
s4_6,0.992,0.002,0.002,0.002,0.002
s4_7,0.952,0.04200000000000004,0.002,0.002,0.002
s5_1,0.10200000000000001,0.002,0.892,0.002,0.002
s5_2,0.10200000000000001,0.002,0.892,0.002,0.002
s5_3,0.802,0.002,0.19199999999999995,0.002,0.002
s5_4,0.802,0.002,0.19199999999999995,0.002,0.002
s5_5,0.502,0.002,0.492,0.002,0.002
s5_6,0.502,0.002,0.492,0.002,0.002
s5_7,0.902,0.002,0.09199999999999997,0.002,0.002
s5_8,0.902,0.002,0.09199999999999997,0.002,0.002
s5_9,0.952,0.002,0.04200000000000004,0.002,0.002
s5_10,0.952,0.002,0.04200000000000004,0.002,0.002
s5_11,0.992,0.002,0.002,0.002,0.002
s5_12,0.992,0.002,0.002,0.002,0.002
s6_1,0.10200000000000001,0.002,0.892,0.002,0.002
s6_2,0.10200000000000001,0.002,0.892,0.002,0.002
s6_3,0.802,0.002,0.19199999999999995,0.002,0.002
s6_4,0.802,0.002,0.19199999999999995,0.002,0.002
s6_5,0.502,0.002,0.492,0.002,0.002
s6_6,0.502,0.002,0.492,0.002,0.002
s6_7,0.902,0.002,0.09199999999999997,0.002,0.002
s6_8,0.902,0.002,0.09199999999999997,0.002,0.002
s6_9,0.952,0.002,0.04200000000000004,0.002,0.002
s6_10,0.952,0.002,0.04200000000000004,0.002,0.002
s6_11,0.992,0.002,0.002,0.002,0.002
s6_12,0.992,0.002,0.002,0.002,0.002
s6_13,0.952,0.002,0.04200000000000004,0.002,0.002
s7_1,0.10200000000000001,0.002,0.002,0.892,0.002
s7_2,0.802,0.002,0.002,0.19199999999999995,0.002
s7_3,0.502,0.002,0.002,0.492,0.002
s7_4,0.902,0.002,0.002,0.09199999999999997,0.002
s7_5,0.952,0.002,0.002,0.04200000000000004,0.002
s7_6,0.992,0.002,0.002,0.002,0.002
s8_1,0.10200000000000001,0.002,0.002,0.892,0.002
s8_2,0.802,0.002,0.002,0.19199999999999995,0.002
s8_3,0.502,0.002,0.002,0.492,0.002
s8_4,0.902,0.002,0.002,0.09199999999999997,0.002
s8_5,0.952,0.002,0.002,0.04200000000000004,0.002
s8_6,0.992,0.002,0.002,0.002,0.002
s8_7,0.952,0.002,0.002,0.04200000000000004,0.002
